Date,2454.TW,NVDA,AMD
2020/9/3,603,453.150513,86.709999
2020/9/4,603,447.713745,84.849998
2020/9/7,598,446.334564,82.239998
2020/9/8,604,433.742035,76.879997
2020/9/9,595,457.338013,82.610001
2020/9/10,599,457.447968,81.839996
2020/9/11,595,462.285095,81.300003
2020/9/14,609,493.186737,82.419998
2020/9/15,611,490.138489,81.660004
2020/9/16,617,485.251404,81.089996
2020/9/17,599,485.351379,82.769997
2020/9/18,611,507.038483,83.809998
2020/9/21,616,508.507568,83.080002
2020/9/22,603,509.696899,86.349998
2020/9/23,617,510.616364,86.019997
2020/9/24,600,504.829773,83.800003
2020/9/25,585,525.597412,85.550003
2020/9/28,603,534.661987,90.82
2020/9/29,610,552.676758,92.18
2020/9/30,607,573.690491,90.220001
2020/10/5,611,520.466248,82.540001
2020/10/6,615,504.750885,82.010002
2020/10/7,647,476.379242,78.690002
2020/10/8,670,508.449799,81.910004
2020/10/12,714,492.324554,78.980003
2020/10/13,699,486.436279,76.339996
2020/10/14,689,514.737976,77.900002
2020/10/15,689,519.486572,78.93
2020/10/16,680,500.432159,76.660004
2020/10/19,692,498.392761,76.550003
2020/10/20,697,487.425995,74.93
2020/10/21,691,500.542114,77.940002
2020/10/22,688,505.360718,77.699997
2020/10/23,678,484.806793,74.730003
2020/10/26,674,493.774139,75.82
2020/10/27,685,514.797913,78.059998
2020/10/28,681,521.246033,79.480003
2020/10/29,684,528.873779,81.769997
2020/10/30,678,541.06012,81.989998
2020/11/2,653,544.419189,84.860001
2020/11/3,665,522.335693,81.800003
2020/11/4,677,545.538818,86.150002
2020/11/5,696,549.297729,84.480003
2020/11/6,700,558.39502,86.690002
2020/11/9,702,553.386475,86.510002
2020/11/10,686,550.347412,83.099998
2020/11/11,676,568.871887,84.290001
2020/11/12,673,569.761658,85.279999
2020/11/13,675,563.643494,84.209999
2020/11/16,694,558.634949,83.129997
2020/11/17,696,552.296875,83.169998
2020/11/18,728,539.750488,82
2020/11/19,733,545.658813,81.559998
